id,nick,comment,refer_nick,refer,time,star
60102,满船清梦压星河991,"愿逝者安息，愿生者奋发，愿祖国昌盛
默哀深切哀悼抗疫烈士和逝世同胞🕯",,,12:41,1
60102,低调的小蘑菇lll,致敬疫情中牺牲的英雄,,,11:51,0
60102,田重来,又想起你了,,,11:30,0
60102,似乎九月,"有些人 一转身就是一辈子 有些离别连“再见”都没有却是永永远远
“陪我慢慢长大”的承诺再也无法实现“陪你慢慢变老”的约定也再没有实现的机会 但不得不承认 也正是因为无数个深夜无声痛哭的夜晚 我变得更加坚强 不管过去多久 我都相信 你从未离去 只是换了一种方式来爱我 像天使一样默默守护着我",,,10:17,0
60102,人间即是地狱__,愿各位一切安好,,,01:23,3
60102,大概我错了吧,还记得我们刚认识的时候嘛 能从早聊到晚 似乎每天都有聊不尽的话题。后来啊， 只剩我自己了，只是还有好多故事没有讲完呢。不过，故事的开头，不总是极其温柔，结尾总是满目疮痍的吗?毕竟当你热情洋溢写了一大段文字，换来的却是一个敷衍的表情，或者，嗯 噢 哈，那讲故事人还有什么兴趣再把故事讲下去,,,00:46,2
60102,文艺青年Mr李,明天默哀日,,,昨天23:27,1
60102,风程1803,我刚想说怎么突然来个安琥？,开花的梦,徐海就是徐誉滕，等一分钟、李雷和韩梅梅和做我老婆好不好的创作者，还有人记得他吗?,昨天22:14,0
60102,灰太狼不会吃喜洋洋,这个世界很好，就是不想再来第二次了,,,昨天22:12,3
60102,酒胜桃花,特地下载网易云来看看你.翻了好久你这个评论 如果你还在希望你过得好开心平安健康 如果不在那就祝你爱的人一生平平安安.,沉默的子弹h,昨天结果出来被告知肝癌晚期，专家说最多还有八个月的时间。家人还不知道，一瞬间特别不甘心，也很无助，我不怕死。只是放不下太多，特别是她，分手有段日子了，昨天回答你的问候说不关你的事，从来不哭的人偷偷哭的撕心裂肺。你说分手的时候我说要我忘记你除非我死了，命中注定了，对不起我不能坚持了,昨天22:04,1
60102,我还是深爱着ni,雨欣，希望你能一直开心幸福快乐鸭，希望你能有一双天使的翅膀，飞向人生的最高处。 欣宝宝，我一直深爱着你，未来的日子我都一直在呢👋👋🙁,,,昨天22:03,0
60102,杨梦鑫淼,,lajohnno,"老公离世有一年半了，一直""不择手段”地努力忘记他。同事准备年会节目推荐这首“对我来说”陌生的歌，学唱歌词时哭得一塌糊涂，又着魔一般反复听。才发现，忘记—原来是自欺欺人！无处倾诉，与歌友分享。",昨天21:02,0
60102,三千山暖,这首歌居然要vip了🤔,,,昨天20:40,0
60102,繁星今晚不亮了,我记得这首歌我们小学时候天天唱 特别是女同学 也不知道她们还记不记得,,,昨天16:24,0
60102,Codorld,经历人生大起大落，懂得收手也是好事。,shqusj,青山停播了..,昨天14:49,0
60102,南街浊酒-N,车王走好,,,昨天11:27,2
60102,樊花落尽殇无情,居然收费了,,,昨天04:43,1
60102,江以晴,听到这首歌就想起了小学六年级的老师，这是我会唱的第一首歌,,,昨天03:06,0
