id,nick,comment,refer_nick,refer,time,star
31814513,晔陌离倾国伤,我们班就有个人叫李玉刚,毁忆星辰,我班有个李文刚，哈哈,5分钟前,0
31814513,火星的药房柒爷,我听多了一直觉得合成音和略带机械声才是歌姬的灵魂[多多捂脸],叛逆战刃,虽然知道是虚拟歌姬，就不能做好文件在录音室用音源播放给采集设备吗？直接把音轨合成太特么直白了……直白到辣耳朵的程度了……完全接受不了,37分钟前,0
31814513,a尘世芯雨,致敬,,,12:42,1
31814513,处男真的不好做,致敬英雄！,,,12:37,1
31814513,陌殇南兮,致敬英雄！,风中凌乱了啊,你可知道洛天依出道这几年来，从最开始的毁歌狂魔到现在的吸粉无数进步了多少？歌手会进步天依就不会进步了吗？您真的认为她们只是止步于此？从v3到v4进步也是非常之大的，确切的说，进步并不是在软件上！一而是在各位作者大大们！他们调出什么样的音色，天依就会唱出什么样的音色，这就要看注入感情了,11:42,1
31814513,大爱夏目33,谁不知道？,珵小喵,有人知道原唱是李玉刚吗…,10:32,0
31814513,看看官方,车祸现场,,,10:30,1
31814513,泠鸢就是冷鸟,基于以上三点，你未对别人以尊重，我们又为何尊重于你？,确有其人c,我不喜欢就是不尊重？您可真会尊重人,10:12,1
31814513,泠鸢就是冷鸟,准确来说你不喜欢评论区发表出来却不基于当年水平，不指出问题，算是对p主的不尊重。不考虑大部分人对于这歌的感觉，一定在评论区觉得不喜欢或难听算是对听音乐的人的不尊重。对于歌手来说，你不喜欢不一定要在评论区中表明，人有自己的感觉，你的感觉化作不喜欢的反感多少影响他人，歌手粉丝有负面影,确有其人c,我不喜欢就是不尊重？您可真会尊重人,10:11,1
31814513,泠鸢就是冷鸟,全国哀悼日，我不骂你，但是发评论前请尊重大部分人的看法，你一人觉得难听不能影响我们这些看评论的既视人。,,,09:28,1
31814513,断殇情1904,李玉刚,珵小喵,有人知道原唱是李玉刚吗…,09:17,0
31814513,泠鸢就是冷鸟,"众所周知，有时间发评论还不如换首自己觉得好听的歌。
毕竟这种评论污了我们这群看评论的人的眼。
自己的主观看法请尊重大部分人，这不是你一个人的音乐。",,,08:47,2
31814513,泠鸢就是冷鸟,"又是一年清明，可是这个清明好沉重。
我们挺过了这个寒冬，
可有些人却永远留在了2020
春天到了
风吹过
你曾停驻
致哀思
祝祖国繁荣昌盛！",,,08:43,9
31814513,红眼QAQ,我晓得,珵小喵,有人知道原唱是李玉刚吗…,08:27,1
31814513,大磊Rodman,02年我们天津高考文综最后一道题，以清明上河图为引子叙述开封相关命题。这首“国风”歌曲真颠覆！！！《芒种》百听不厌，这首歌太怪异。是变声还是中国电子乐。歌者需要学习太多了，否则成为了车祸现场。说话直。,,,03:56,1
31814513,嘎嘎嘎嘎刚刚他,同05，小时候特别喜欢他的贵妃醉酒,好好一珍珠活的还不如空儿一狗,有，.05后走一发,00:39,0
31814513,Zoe水月,来我们一起上河图🌝,我是-歌神,又是一年清明，又是上河图的日子。,00:09,0
31814513,我是-歌神,又是一年清明，又是上河图的日子。,,,00:06,2
31814513,羊村二霸懒羊羊,？有些人是真的恶臭,,,昨天22:06,2
31814513,-厌_情,那是晴明啊。。,骑士般的锦衣卫,清明？那个清明？是阴阳师里面的那个清明吗？,昨天21:02,0
31814513,温柔大黑熊,吓老子一跳，什么鬼玩意,,,昨天20:59,2
31814513,幻音染柒,那些说天依不好请走开，这里不是你撒野的地方，你不喜欢听你干嘛还要进来？天依是中国首位虚拟歌姬，优缺点是正常的，而且她也进步了很多好吗？,,,昨天20:43,5
31814513,咳咳-我路过P-P,有,珵小喵,有人知道原唱是李玉刚吗…,昨天19:51,0
